Path,Category,Can you describe the shape or form of the item?,What details become apparent upon closer inspection of the image?,What role does the item in the image serve?,What colors are commonly associated with the item?,How is the item typically obtained?,What are some common places where the item might be found or used?
/content/Dataset_simple_sketch/test/guitar/7604.png,guitar,ukulele ukulele ukulele ukulele ukulele ukulele ukulele uk,the shape of the ukulele,a musical instrument,black and white,from a ukulele,ukulele ukulele ukulele ukulele ukulele ukulele ukulele uk
/content/Dataset_simple_sketch/test/octopus/11201.png,octopus,octopus,the octopus has a long tail,octopus,black and white,from a zoo or aquarium,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/harp/7922.png,harp,harp,the harp is shaped like a harp,harp,black and white,in the form of a harp or harpsichord,a harp is a stringed musical instrument that is played by a harpist
/content/Dataset_simple_sketch/test/book/1922.png,book,open book,the page is open and the text is written on the page,a book,black and white,from a library,"bookshelf, library, library, library, library, library, library, library, library, library, library, library, library, library,"
/content/Dataset_simple_sketch/test/hourglass/8722.png,hourglass,spherical,the shape of the hourglass is a spherical spherical spherical spherical,a sand timer,black and white,from a sand dune,"a sand timer, a sand timer, a sand timer, a sand time"
/content/Dataset_simple_sketch/test/tractor/18325.png,tractor,a line drawing of a tractor,there is a tractor in the background,it is a tractor,black and white,from a farm,"a farm, a farmyard, a farm, a farm, a farm, a farm, a farm, "
/content/Dataset_simple_sketch/test/radio/13444.png,radio,tv,the tv has a remote control,it is a radio,black and white,from a radio station,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/bookshelf/2003.png,bookshelf,a line drawing of a shelf,there is a shelf on the right side of the image,a bookcase,black and white,from a furniture store,"kitchen, dining room, living room, bedroom, bathroom"
/content/Dataset_simple_sketch/test/bulldozer/2561.png,bulldozer,the shape of the item is a rectangle,there is a slit in the middle of the image,it is a book,black and white,it is usually obtained from a pawn shop or pawn shop,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/ipod/9041.png,ipod,a circle with a hole in the middle,there is a hole in the middle of the paper,it is a bag,black and white,it is typically obtained as a gift from a friend or family member,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/toilet/18001.png,toilet,a toilet seat,"the shape of the toilet seat, the shape of the toilet bowl, the shape of the toilet seat, the shape of the toilet bowl, the shape",a toilet seat,black and white,from a toilet manufacturer,"bathroom, kitchen, bedroom, living room, bedroom, bathroom, kitchen, living room, bedroom, bathroom, bedroom, bathroom, bedroom, bathroom,"
/content/Dataset_simple_sketch/test/megaphone/10163.png,megaphone,a line drawing of a megaphone,a line drawing of a megaphone,a loudspeaker,black and white,it is a loudspeaker,"radios, televisions, tvs, radios, radios, tvs, radios, tvs,"
/content/Dataset_simple_sketch/test/pretzel/13042.png,pretzel,the shape of the item is a heart,"the shape of the heart is shaped like a heart, and the shape of the heart is shaped like a heart",a part of a human body,black and white,it is typically obtained from a teddy bear or a teddy bear teddy bear teddy bear,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/panda/11441.png,panda,a teddy bear,the bear is wearing a t-shirt and a hat,it is a teddy bear,black and white,"from a zoo, zoo, zoo, zoo, zoo, z","teddy bears, teddy bears, teddy bears, teddy bears, t"
/content/Dataset_simple_sketch/test/hamburger/7682.png,hamburger,burger,the burger is shaped like a hamburger,it is a burger,black and white,from a fast food restaurant,"restaurant menus, menus, menus, menus, menus, menus, menus, menus, menus, menus"
/content/Dataset_simple_sketch/test/chair/4004.png,chair,the shape of the item is oblong,the letter l is in the middle of the image,it is the letter l,black and white,it is typically obtained from a taiwanese taiwanese taiwanes,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/moon/10563.png,moon,the shape of the item is oblong,"the shape of the mouth, the shape of the teeth, and the shape of the lips",it is a part of the human body,black and white,it is usually obtained by slicing a banana in half and then slicing it in half and then slicing it,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/stapler/16324.png,stapler,a line drawing of a stapler on a white background,a line drawing of a stapler on a white background,"a stapler, a stapler, a stapler, a stapler, a stapler, a stapler,",black and white,from a hardware store,office supplies office supplies office supplies office supplies office supplies office supplies office supplies office supplies office supplies office supplies office supplies office supplies office supplies office supplies office supplies
/content/Dataset_simple_sketch/test/axe/643.png,axe,a line drawing of a hammer on a white background,the handle of the hammer is curved,a hammer,black and white,from a hardware store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/diamond/5203.png,diamond,heart,the heart is shaped like a heart,it is a symbol of love,black and white,it is usually obtained from a tarot card or a tarot card reader,"teddy bears, teddy bears, teddy bears, teddy bears, t"
/content/Dataset_simple_sketch/test/pipe (for smoking)/12644.png,pipe (for smoking),a single line drawing of a pot,a single line drawing of a pot with a spoon in it,utensil,black and white,from a cookware store,"pots, pans, pans, pans, pans, pans, pans, pans, pans, pans,"
/content/Dataset_simple_sketch/test/skyscraper/15282.png,skyscraper,a cube,"the shape of the object is a cube, and the shape of the object is a cuboid",it is a block of ice,black and white,from a rock quarry,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/bench/1604.png,bench,a line drawing of a curved bench,the shape of the bench is curved,a seat,black and white,from a manufacturer,"kitchen, dining room, living room, bedroom, bathroom"
/content/Dataset_simple_sketch/test/ladder/9445.png,ladder,the shape of the item is a teddy bear,there is a slit in the middle of the leg,it is a leg,black and white,it is usually obtained from a tavern or taverna,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/basket/1041.png,basket,basket,the basket is shaped like a basket,it is a basket,black and white,from a scavenger hunt,"baskets can be found in a variety of places, such as a kitchen, a bathroom, a bedroom, a living room"
/content/Dataset_simple_sketch/test/dolphin/5362.png,dolphin,the shape of the item is a dolphin,the dolphin has a tail and a tail fin,as a character in a story,black and white,from a zoo or aquarium,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/person sitting/12082.png,person sitting,a person sitting on a chair,a woman is sitting on a chair with her back to the wall,a seat for a person to sit on,black and white,it is typically obtained by a person sitting in a chair,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/vase/19203.png,vase,spherical,the shape of the vase is spherical,a vase,"red, blue, green, yellow",from a florist,"kitchen, bathroom, bedroom, living room, bedroom, living room, bathroom, bedroom, bathroom, bedroom, bathroom, bedroom, bathroom, bedroom,"
/content/Dataset_simple_sketch/test/flower with stem/6804.png,flower with stem,a single line drawing of a flower,it is a single line drawing of a flower,it is a flower,black and white,from a florist,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/castle/3763.png,castle,castle,there is a castle on top of a hill,a castle,black and white,from a child's imagination,"children's coloring books, coloring pages, coloring books, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages, coloring pages,"
/content/Dataset_simple_sketch/test/arm/402.png,arm,a line drawing of a hand reaching out,there is a line drawing of a hand reaching out,it's a hand,black and white,it is typically obtained from a person's arm,"handbags, purses, hats, jackets, shirts, hats, hats, hats, "
/content/Dataset_simple_sketch/test/candle/3361.png,candle,a line drawing of a candle on a white background,the outline of the candle is drawn in a straight line,it is a candle,black and white,from a candle,"in a candle holder, in a candle holder, in a candle holder, in a candle holder, in "
/content/Dataset_simple_sketch/test/satellite dish/14163.png,satellite dish,spherical,there is a spherical object in the middle of the drawing,it's a clock,black and white,from a tarot card or a tarot card reader,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/scissors/14321.png,scissors,"a pair of scissors, a pair of scissors, a pair of scissors, a pair of scissors, a pair of scissors,",a pair of scissors and a pair of scissors are drawn on a white background,a pair of scissors,black and white,a pair of scissors or a pair of tweezers,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/nose/11122.png,nose,the shape of the item is oblong,the shape of the ear and the shape of the nose,it is a part of a person's body,black and white,it is usually obtained from a tattoo artist or tattoo parlour,"hats, hats, hats, hats, hats, hats, hats, hat"
/content/Dataset_simple_sketch/test/skull/15202.png,skull,the shape of the item is a skull,the skull's mouth is open and the eyes are open,it is a drawing of a skull,black and white,from a tattoo parlour,"on a t-shirt, on a t-shirt, on a shirt, on a shirt, on a shirt"
/content/Dataset_simple_sketch/test/satellite/14081.png,satellite,spherical,the spacecraft is shaped like a spherical object with a spherical body and a sp,a spacecraft,black and white,from a spacecraft manufacturer,"in a tv show or movie, in a comic book, in a book, in a magazine, or in a"
/content/Dataset_simple_sketch/test/wheelbarrow/19522.png,wheelbarrow,wheelbarrow,the drawing is a single line drawing of a wheelbarrow,a wheelbarrow,black and white,from a thrift store,"in a stroller, in a stroller, in a stroller, in a stroller, in a stroller,"
/content/Dataset_simple_sketch/test/donut/5441.png,donut,donut,there is a hole in the middle of the donut,it is a donut,"red, orange, yellow, green, blue, black, white",from a bakery,"donuts can be found in a variety of places, including a donut shop, a bakery, a bakery, a"
/content/Dataset_simple_sketch/test/tennis-racket/17682.png,tennis-racket,a tennis racket,a tennis racket is drawn in black and white on a white background,tennis racket,black and white,from a tennis racket,a tennis racket
/content/Dataset_simple_sketch/test/frying-pan/7283.png,frying-pan,a line drawing of a tennis racket,the object is a tennis racket,a tennis racket,black and white,from a fisherman's net,"tennis rackets, racquets, racquetball rackets, racquetball racket"
/content/Dataset_simple_sketch/test/knife/9363.png,knife,a line drawing of a knife on a white background,the knife has a handle and a blade,a weapon,black and white,in the form of a sword or dagger,"swords, axes, katanas, katanas, katanas, katanas"
/content/Dataset_simple_sketch/test/leaf/9602.png,leaf,leaf,the leaf is drawn in a single line,a leaf is a leaf is a leaf is a leaf is a leaf is a leaf is a leaf is a,black and white,from a tree,"hats, hats, hats, hats, hats, hats, hats, hat"
/content/Dataset_simple_sketch/test/couch/4643.png,couch,oblong,the shape of the seat and the shape of the back of the seat,a seat,black and white,from a local auto parts store,"a car, a truck, a motorcycle, a boat, a plane, a bed, a couch, a"
/content/Dataset_simple_sketch/test/tomato/18082.png,tomato,the shape of the item is a tomato,the shape of the tomato,a fruit or vegetable,"red, orange, yellow, green",from a farmer's market,"grocery stores, restaurants, cafeterias, grocery stores, restaurants, cafeterias, cafeterias, cafeterias,"
/content/Dataset_simple_sketch/test/parachute/11602.png,parachute,a parachute,"the parachute is shaped like a parachute, and the parachute is shaped like a parachute",a parachute,black and white,in the form of a parachute,a parachute is a device that carries a person or a group of people on a parachute
/content/Dataset_simple_sketch/test/hat/8005.png,hat,hat,the hat is shaped like a cowboy hat,it is a hat,black and white,from a hat,hats hats hats hats hats hats hats hats hats hats
/content/Dataset_simple_sketch/test/hot-dog/8645.png,hot-dog,the shape of the item is a line drawing,"there is a slit in the middle of the line, and a slit in the middle of the line",it is a line drawing of a person's body,black and white,it is usually obtained from a person's genitals,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/cell phone/3921.png,cell phone,the item is shaped like a cup,it is a drawing of a cell phone,a container for liquids,black and white,from a chemist,"cell phones, tablets, laptops, ipads, ipods, mp3 players, mp4 players, mp"
/content/Dataset_simple_sketch/test/mouse (animal)/10805.png,mouse (animal),a line drawing of a mouse,the rat has a long tail and a slender body,a mouse,black and white,"from a zoo, zoo, zoo, zoo, zoo, z","in a book, on a computer screen, on a tablet, on a phone, on a tablet computer, on a"
/content/Dataset_simple_sketch/test/potted plant/12803.png,potted plant,plant in a pot,the plant is growing in a pot,a plant in a pot,black and white,from a plant nursery,"flower pots, flower pots, flower pots, flower pots, flower pots, flower pots, flower pots, flower pot"
/content/Dataset_simple_sketch/test/laptop/9521.png,laptop,the shape of the item is a laptop,the laptop has a broken screen,it is a laptop,black and white,from a computer repair shop,"laptops, tablets, cell phones, ipads, ipods, mp3 players, mp4 players, mp"
/content/Dataset_simple_sketch/test/pumpkin/13124.png,pumpkin,the shape of the item is a pumpkin,the pumpkin is shaped like a pumpkin,it is a pumpkin,orange and yellow,from a pumpkin patch,"pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch, pumpkin patch,"
/content/Dataset_simple_sketch/test/streetlight/16481.png,streetlight,a line drawing of a street light,there is a light at the end of the pole,a light source,"red, yellow, green, blue, black, white",from a street vendor,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/key/9203.png,key,a single line drawing of a key,"the shape of the key is oblique, and the shape of the key is oblique, and the shape of the key is",a key,black and white,from a locksmith,"kitchen drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers, drawers"
/content/Dataset_simple_sketch/test/pizza/12722.png,pizza,a slice of pizza,the shape of the slice of pizza is shaped like a slice of pizza,a slice of pizza,"red, orange, yellow, green, blue, black, white",from a bakery,"pizza boxes, pizza boxes, pizza boxes, pizza boxes, pizza boxes, pizza boxes, pizza boxes, pizza boxes, pizza boxes, pizza boxes,"
/content/Dataset_simple_sketch/test/cow/4722.png,cow,a line drawing of a horse,the horse's head is tilted to the side,is it a horse or a cow?,black and white,from a horse breeder,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/wine-bottle/19684.png,wine-bottle,a line drawing of a wine bottle on a white background,the bottle has a label on it,a bottle of wine,red and white,from a winery,"restaurants, bars, hotels, restaurants, bars, hotels, restaurants, bars, restaurants, hotels, restaurants, bars, restaurants, hotels, restaurants,"
/content/Dataset_simple_sketch/test/angel/163.png,angel,a line drawing of an angel with wings,the wings of the angel are shaped like wings of a bird,angel,black and white,from a craft store,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/door handle/5601.png,door handle,oblong,the shape of the handle and the shape of the handle,driver's side door handle,black and white,from a local auto parts store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/van/19125.png,van,a line drawing of a car,"the shape of the car's hood, the shape of the car's hood, the shape of the car's hood,",a vehicle,black and white,from a car manufacturer,"in a car, truck, van, or other vehicle"
/content/Dataset_simple_sketch/test/bridge/2481.png,bridge,a line drawing of a rope,there is a rope attached to the end of the rope,it is a sling,black and white,"it is typically obtained from a teeter-totter, a teeter-totter, or","in a sandbox, in a sandbox, in a sandbox, in a sand"
/content/Dataset_simple_sketch/test/crocodile/4963.png,crocodile,crocodile crocodile crocodile crocodile crocodile crocodile,"the crocodile is a crocodile, not a crocodile crocodile cro",it is a crocodile,black and white,from a zoo or aquarium,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/floor lamp/6723.png,floor lamp,a line drawing of a lamp on a white background,there is a lamp shade on top of the lamp post,a lamp,black and white,from a hardware store,"in a garden, in a park, in a park, in a park, in a park, in a park,"
/content/Dataset_simple_sketch/test/cup/5125.png,cup,cup,the cup has a handle and a spout,it is a cup,black and white,from a coffee shop,"coffee shops, cafes, restaurants, cafeterias, cafeterias, cafeterias, cafeterias, restaurants,"
/content/Dataset_simple_sketch/test/eyeglasses/6164.png,eyeglasses,eyeglasses,the eyeglasses have a curved shape,eyeglasses,black and white,from a store,"eyeglasses, eyeglasses, eyeglasses, eyeglasses, eyeglasses, eyeglasses,"
/content/Dataset_simple_sketch/test/boomerang/2083.png,boomerang,a line drawing of a letter f,the shape of the letter f,it is a part of a car,black and white,from a local auto parts store,"car engine, engine compartment, engine compartment, engine compartment, engine compartment, engine compartment, engine compartment, engine compartment, engine compartment, engine compartment,"
/content/Dataset_simple_sketch/test/toothbrush/18243.png,toothbrush,"a toothbrush, toothbrushes, toothbrushes, toothbrushes, toothbrushes, toothbrushes, toothbrushes, toothbrushe",a toothbrush is drawn in a single line,"toothbrush, toothbrushes, toothbrushes, toothbrushes, toothbrushes, toothbrushes, toothbrushes, toothbrushes,",black and white,from a dentist's office,"toothbrushes, toothpaste, toothbrushes, toothbrushes, toothbrushes, toothbrushes, toothbrushes, toothbrushes,"
/content/Dataset_simple_sketch/test/fish/6561.png,fish,fish,the fish has a large head and a small body,a fish,black and white,from a fisherman or a fisherman's mate,"aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums, aquariums,"
/content/Dataset_simple_sketch/test/envelope/6002.png,envelope,envelope,the shape of the envelope is oblong,envelope vector illustration,black and white,from a post office,"envelopes, envelopes, envelopes, envelopes, envelopes, envelopes, envelopes, envelopes, envelopes, envelopes,"
/content/Dataset_simple_sketch/test/helmet/8405.png,helmet,hat,the hat has a curved brim and a curved brim,hat,black and white,from a bakery,"hats, hats, hats, hats, hats, hats, hats, hat"
/content/Dataset_simple_sketch/test/hedgehog/8242.png,hedgehog,hedgehog,the hedgehog is wearing a hat,a hedgehog,black and white,from a hedgehog's mouth,"on t-shirts, mugs, mugs, mugs, mugs, mugs, mugs,"
/content/Dataset_simple_sketch/test/table/17202.png,table,a slatted wooden table,there are two legs on the bottom of the table,a table,black and white,from a furniture store,"kitchen, dining room, living room, bedroom"
/content/Dataset_simple_sketch/test/elephant/5923.png,elephant,a line drawing of an elephant with a tusk,the elephant has a tusk and a trunk,as a character in a story,black and white,from a zoo or zoological park,"t-shirts, mugs, mugs, mugs, mugs, mugs, mugs, "
/content/Dataset_simple_sketch/test/armchair/485.png,armchair,a line drawing of a chair,the chair has a curved back and armrests,a chair,black and white,from a furniture store,"dining room, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom"
/content/Dataset_simple_sketch/test/feather/6402.png,feather,leaf,the leaf is drawn in a single line,a leaf,yellow and green,from a plant,"banana leaf, banana leaf, banana leaf, banana leaf, banana leaf, banana leaf, banana leaf, banana leaf, banana leaf, banana leaf,"
/content/Dataset_simple_sketch/test/shovel/15042.png,shovel,a shovel,the handle of the shovel is curved,a shovel,black and white,a shovel is a tool that is used to dig a hole in the ground,"garden, gardener, gardener, gardener, gardener, gardener, gardener, gardener, gardener, gardener, garden"
/content/Dataset_simple_sketch/test/flying saucer/6961.png,flying saucer,the shape of the item is a circle,there is a small circle in the middle of the image,it is a food item,"orange, yellow, green, blue, black, white","in the form of a fruit or vegetable, such as an apple or a pear","in the kitchen, on a plate, in a bowl, on a plate, on a plate, on a plate, on"
/content/Dataset_simple_sketch/test/suitcase/16642.png,suitcase,a briefcase,there is a handle on the bag,a briefcase,black and white,from a travel agency,"a briefcase, briefcase, briefcase, briefcase, briefcase, briefcase, briefcase, briefcase, briefcase, brief"
/content/Dataset_simple_sketch/test/tire/17921.png,tire,the shape of the item is a circle,the shape of the letter o,it is a drawing of a circle,black and white,it is typically obtained by drawing a line on a white surface,"t-shirts, hats, hats, hats, hats, hats, hats, "
/content/Dataset_simple_sketch/test/camera/3281.png,camera,oblong,the drawing is of a car with a seat and a steering wheel,driver's seat,black and white,from a local auto parts store,"kitchen, bathroom, bedroom, living room, bedroom, living room, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom, bedroom,"
/content/Dataset_simple_sketch/test/hammer/7763.png,hammer,letter t,the shape of the letter t,the letter t,black and white,from a hammer and chisel,"a hammer, a hammerhead, a hammer, a hammer, a hammer"
/content/Dataset_simple_sketch/test/flashlight/6645.png,flashlight,the item is shaped like a flashlight,the shape of the handle and the shape of the head of the flashlight,a flashlight,black and white,from a hardware store,"kitchen, bathroom, bedroom, office, car"
